chunk_id	status	filename	rows_approx	upload_url	notes
0043	UPLOADED	expr_part_0043of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0043of0270.tsv.gz	upload_confirmed
0044	UPLOADED	expr_part_0044of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0044of0270.tsv.gz	upload_confirmed
0045	UPLOADED	expr_part_0045of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0045of0270.tsv.gz	upload_confirmed
0046	UPLOADED	expr_part_0046of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0046of0270.tsv.gz	upload_confirmed
0047	UPLOADED	expr_part_0047of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0047of0270.tsv.gz	upload_confirmed
0048	UPLOADED	expr_part_0048of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0048of0270.tsv.gz	upload_confirmed
0049	UPLOADED	expr_part_0049of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0049of0270.tsv.gz	upload_confirmed
0050	UPLOADED	expr_part_0050of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0050of0270.tsv.gz	upload_confirmed
0051	UPLOADED	expr_part_0051of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0051of0270.tsv.gz	upload_confirmed
0052	UPLOADED	expr_part_0052of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0052of0270.tsv.gz	upload_confirmed
0053	UPLOADED	expr_part_0053of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0053of0270.tsv.gz	upload_confirmed
0054	UPLOADED	expr_part_0054of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0054of0270.tsv.gz	upload_confirmed
0055	UPLOADED	expr_part_0055of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0055of0270.tsv.gz	upload_confirmed
0056	UPLOADED	expr_part_0056of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0056of0270.tsv.gz	upload_confirmed
0057	UPLOADED	expr_part_0057of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0057of0270.tsv.gz	upload_confirmed
0058	UPLOADED	expr_part_0058of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0058of0270.tsv.gz	upload_confirmed
0059	UPLOADED	expr_part_0059of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0059of0270.tsv.gz	upload_confirmed
0060	UPLOADED	expr_part_0060of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0060of0270.tsv.gz	upload_confirmed
0061	UPLOADED	expr_part_0061of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0061of0270.tsv.gz	upload_confirmed
0062	UPLOADED	expr_part_0062of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0062of0270.tsv.gz	upload_confirmed
